date,open,high,low,close,volume,padding
2001-02-22,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-02-23,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-02-26,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-02-27,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-02-28,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-01,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-02,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-05,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-06,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-07,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-08,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-09,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-12,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-13,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-14,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-15,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-16,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-19,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-20,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-21,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-22,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-23,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-26,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-27,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-28,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-29,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-03-30,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-02,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-03,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-04,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-05,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-06,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-09,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-10,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-11,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-12,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-16,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-17,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-18,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-19,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-20,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-23,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-24,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-25,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-26,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-27,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-04-30,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-01,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-02,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-03,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-04,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-07,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-08,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-09,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-10,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-11,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-14,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-15,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-16,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-17,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-18,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-21,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-22,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-23,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-24,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-25,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-29,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-30,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-05-31,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-01,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-04,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-05,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-06,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-07,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-08,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-11,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-12,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-13,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-14,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-15,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-18,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-19,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-20,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-21,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-22,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-25,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-26,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-27,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-28,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-06-29,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-02,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-03,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-05,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-06,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-09,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-10,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-11,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-12,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-13,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-16,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-17,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-18,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-19,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-20,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-23,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-24,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-25,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-26,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-27,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-30,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-07-31,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-01,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-02,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-03,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-06,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-07,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-08,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-09,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-10,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-13,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-14,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-15,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-16,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-17,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-20,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-21,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-22,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-23,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-24,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-27,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-28,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-29,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-30,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-08-31,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-04,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-05,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-06,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-07,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-10,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-17,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-18,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-19,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-20,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-21,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-24,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-25,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-26,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-27,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-09-28,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-01,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-02,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-03,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-04,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-05,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-08,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-09,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-10,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-11,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-12,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-15,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-16,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-17,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-18,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-19,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-22,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-23,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-24,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-25,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-26,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-29,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-30,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-10-31,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-01,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-02,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-05,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-06,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-07,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-08,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-09,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-12,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-13,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-14,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-15,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-16,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-19,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-20,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-21,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-23,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-26,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-27,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-28,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-29,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-11-30,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-03,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-04,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-05,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-06,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-07,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-10,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-11,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-12,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-13,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-14,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-17,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-18,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-19,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-20,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-21,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-24,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-26,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-27,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-28,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2001-12-31,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-02,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-03,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-04,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-07,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-08,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-09,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-10,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-11,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-14,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-15,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-16,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-17,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-18,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-22,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-23,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-24,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-25,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-28,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-29,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-30,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-01-31,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-01,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-04,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-05,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-06,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-07,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-08,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-11,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-12,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-13,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-14,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-15,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-19,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-20,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-21,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-22,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-25,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-26,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-27,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-02-28,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-01,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-04,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-05,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-06,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-07,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-08,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-11,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-12,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-13,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-14,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-15,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-18,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-19,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-20,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-21,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-22,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-25,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-26,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-27,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-03-28,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-01,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-02,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-03,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-04,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-05,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-08,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-09,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-10,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-11,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-12,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-15,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-16,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-17,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-18,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-19,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-22,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-23,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-24,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-25,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-26,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-29,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-04-30,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-01,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-02,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-03,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-06,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-07,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-08,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-09,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-10,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-13,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-14,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-15,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-16,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-17,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-20,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
2002-05-21,6.3329999999999975,6.3370000000000015,6.033,6.117000000000001,35097600.0,1
